dataset,dataset_name,openml_id,model,cp_method,alpha,target_coverage,empirical_coverage,avg_set_size,set_size_variance,class_cond_coverage_gap,point_accuracy,brier_score,ece,per_class_efficiency
blood,Blood Transfusion,1464,SVM_RBF,ClassConditional,0.05,0.95,1.0,1.9933333333333334,0.0066222222222222194,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 1.9714285714285715}"
blood,Blood Transfusion,1464,SVM_RBF,ClassConditional,0.01,0.99,1.0,1.9933333333333334,0.0066222222222222194,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 1.9714285714285715}"
blood,Blood Transfusion,1464,SVM_RBF,Mondrian,0.2,0.8,0.82,1.3066666666666666,0.21262222222222224,0.10062111801242235,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.3304347826086957, 1: 1.2285714285714286}"
blood,Blood Transfusion,1464,SVM_RBF,Mondrian,0.15,0.85,0.8733333333333333,1.4733333333333334,0.24928888888888887,0.09565217391304348,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.4956521739130435, 1: 1.4}"
blood,Blood Transfusion,1464,SVM_RBF,Mondrian,0.1,0.9,0.9666666666666667,1.8,0.16000000000000003,0.03105590062111807,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 1.8, 1: 1.8}"
blood,Blood Transfusion,1464,SVM_RBF,Mondrian,0.05,0.95,1.0,1.9933333333333334,0.0066222222222222194,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 1.9714285714285715}"
blood,Blood Transfusion,1464,SVM_RBF,Mondrian,0.01,0.99,1.0,1.9933333333333334,0.0066222222222222194,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 1.9714285714285715}"
blood,Blood Transfusion,1464,SVM_RBF,APS,0.2,0.8,1.0,2.0,0.0,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,SVM_RBF,APS,0.15,0.85,1.0,2.0,0.0,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,SVM_RBF,APS,0.1,0.9,1.0,2.0,0.0,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,SVM_RBF,APS,0.05,0.95,1.0,2.0,0.0,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 2.0}"
blood,Blood Transfusion,1464,SVM_RBF,APS,0.01,0.99,1.0,2.0,0.0,0.0,0.7666666666666667,0.3306770854077105,0.19706760652319247,"{0: 2.0, 1: 2.0}"
wdbc,WDBC Breast Cancer,1510,LogReg,Standard,0.2,0.8,0.7192982456140351,0.7192982456140351,0.20190827947060638,0.045634920634920695,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.7361111111111112, 1: 0.6904761904761905}"
wdbc,WDBC Breast Cancer,1510,LogReg,Standard,0.15,0.85,0.8070175438596491,0.8157894736842105,0.15027700831024932,0.07142857142857151,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.8333333333333334, 1: 0.7857142857142857}"
wdbc,WDBC Breast Cancer,1510,LogReg,Standard,0.1,0.9,0.9122807017543859,0.9210526315789473,0.07271468144044323,0.04960317460317465,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.9305555555555556, 1: 0.9047619047619048}"
wdbc,WDBC Breast Cancer,1510,LogReg,Standard,0.05,0.95,0.956140350877193,0.9912280701754386,0.008694983071714376,0.0813492063492064,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.9861111111111112, 1: 1.0}"
wdbc,WDBC Breast Cancer,1510,LogReg,Standard,0.01,0.99,0.9824561403508771,1.0350877192982457,0.033856571252693125,0.04761904761904767,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 1.0138888888888888, 1: 1.0714285714285714}"
wdbc,WDBC Breast Cancer,1510,LogReg,ClassConditional,0.2,0.8,0.7719298245614035,0.7719298245614035,0.17605417051400432,0.17261904761904756,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.7083333333333334, 1: 0.8809523809523809}"
wdbc,WDBC Breast Cancer,1510,LogReg,ClassConditional,0.15,0.85,0.7982456140350878,0.7982456140350878,0.16104955370883348,0.13095238095238093,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.75, 1: 0.8809523809523809}"
wdbc,WDBC Breast Cancer,1510,LogReg,ClassConditional,0.1,0.9,0.8333333333333334,0.8421052631578947,0.13296398891966757,0.11309523809523814,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.8055555555555556, 1: 0.9047619047619048}"
wdbc,WDBC Breast Cancer,1510,LogReg,ClassConditional,0.05,0.95,0.9385964912280702,0.956140350877193,0.04193598030163129,0.021825396825396748,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 0.9444444444444444, 1: 0.9761904761904762}"
wdbc,WDBC Breast Cancer,1510,LogReg,ClassConditional,0.01,0.99,0.9736842105263158,0.9912280701754386,0.00869498307171438,0.03373015873015883,0.9649122807017544,0.04784193793387448,0.04402766181954142,"{0: 1.0, 1: 0.9761904761904762}"
